SCARLET & VIOLET PULL RATES										
SV 1 -  Base Set	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Scarlet-Violet-Pull-Rates/a7702fce-dd64-4a58-beb1-0f871c853215/?srsltid=AfmBOoqZt0htz3R83fywXIYWFPIf8-7WslKVwHHbo6e660XBdj1pXTfU			4.5 - Paldean Fates	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Paldean-Fates-Pull-Rates/23de3e93-0d0f-4ae0-abc4-13664f3001a3/?srsltid=AfmBOopo0WFpUi4F9R8LBhwCIG9G8YqmNWJBbMWoso-g40a62IH8WTcO			SV 8 - Surging Sparks	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Surging-Sparks-Pull-Rates/6ccfb6ab-f26a-4ce8-bab5-5f91c85ec70e/?srsltid=AfmBOop2m0RdZv2Caj-rSYcs2mBrSWBRt_qXZX_NqnzDQnP6AbiiP7xc	
Rarity Tier	Pull Rate	in Set		Rarity	Pull Rate	in Set		Rarity	Pull Rate	in Set
Double Rare	1 in 7 Packs			Double Rare	1 in 6 Packs			Double Rare	1 in 6 Packs	
Ultra Rare	1 in 15 Packs	20		Ultra Rare	1 in 15 Packs	5		Ultra Rare	1 in 15 Packs	20
Illustration Rare	1 in 13 Packs	24		Shiny Rare	1 in 4 Packs	130 total		ACE SPEC Rare	1 in 20 Packs	8
Special Illustration Rare	1 in 32 Packs	10		Shiny Ultra Rare	1 in 13 Packs			Illustration Rare	1 in 13 Packs	23
Hyper Rare	1 in 54 Packs	6		Illustration Rare	1 in 14 Packs	3		Special Illustration Rare	1 in 87 Packs	11
				Special Illustration Rare	1 in 58 Packs	8		Hyper Rare	1 in 188 Packs	6
SV 2 - Paldea Evolved	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Paldea-Evolved-Pull-Rates/1b7d3e70-9542-4a50-8692-1661e2316521/			Hyper Rare	1 in 62 Packs	7				
Rarity	Pull Rate	In Set						8.5 Prismatic Evolutions	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Prismatic-Evolutions-Pull-Rates/d94889ea-f76a-4a13-b74d-5b0b071220a7/?srsltid=AfmBOoqfPRTPMOTuTVGlsBrSSUiLRsg55WuOad2GxGQevrLO86lKKGgB	
Double Rare	1 in 7 Packs			SV 5 - Temporal Forces	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Temporal-Forces-Pull-Rates/28c0ad22-00a4-428f-b22d-e7fee9ec50bc/			Rarity	Pull Rates	in Set
Ultra Rare	1 in 15 Packs	26		Rarity	Pull Rate	in Set		Poké Ball Foil	1 in 3 Packs	100
Illustration Rare	1 in 13 Packs	36		Double Rare	1 in 6 Packs			Double Rare	1 in 6 Packs	
Special Illustration Rare	1 in 32 Packs	15		Ultra Rare	1 in 15 Packs	18		Ultra Rare	1 in 13 Packs	12
Hyper Rare	1 in 57 Packs	9		ACE SPEC Rare	1 in 20 Packs	6		ACE SPEC Rare	1 in 21 Packs	8
				Illustration Rare	1 in 13 Packs	23		Master Ball Foil	1 in 20 Packs	100
SV 3 - Obsidian Flames 	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Obsidian-Flames-Pull-Rates/e2a66999-a7b5-4621-9765-c9a132e04bd2/			Special Illustration Rare	1 in 86 Packs	10		Special Illustration Rare	1 in 45 Packs*	32
Rarity	Pull Rate	in Set		Hyper Rare	1 in 139 Packs	6		Hyper Rare	1 in 180 Packs	5
Double Rare	1 in 7 Packs									
Ultra Rare	1 in 15 Packs	12		SV 6 - Twilight Masquerade 	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Twilight-Masquerade-Pull-Rates/f3eea967-e5fb-4108-8655-bb1c89587628/?srsltid=AfmBOooMbTImhlm09-ULZhtwNvBTM0LrtR8tFC1L4J54MZ1bNOYhb8so			SV 9 - Journey Together		
Illustration Rare	1 in 13 Packs	12		Rarity	Pull Rate	in Set		Rarity	Pull Rates	
Special Illustration Rare	1 in 32 Packs	6		Double Rare	1 in 6 Packs			Double Rare	1 in 5 Packs	
Hyper Rare	1 in 52 Packs	3		Ultra Rare	1 in 15 Packs	21		Ultra Rare	1 in 15 Packs	11
				ACE SPEC Rare	1 in 20 Packs	6		Illustration Rare	1 in 12 Packs	11
3.5 - 151	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Scarlet-Violet%E2%80%94151-Pull-Rates/b237df74-fbb0-40d0-9e13-d69ee6e804d9/			Illustration Rare	1 in 13 Packs	21		Special Illustration Rare	1 in 86 Packs	6
Rarity	Pull Rate	in Set		Special Illustration Rare	1 in 86 Packs	11		Hyper Rare	1 in 137 Packs	3
Foil Energy	1 in 4 Packs			Hyper Rare	1 in 146 Packs	6				
Double Rare	1 in 8 Packs							SV 10 - Destined Rivals		
Ultra Rare	1 in 16 Packs	16		6.5 - Shrouded Fable						
Illustration Rare	1 in 12 Packs	16		Rarity	Pull Rates	in Set				
Special Illustration Rare	1 in 32 Packs	7		Double Rare						
Hyper Rare	1 in 51 Packs	3		Ultra Rare	15	10				
				ACE SPEC Rare	20	3				
SV 4 - Paradox Rift	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Paradox-Rift-Pull-Rates/0b5fb648-38fc-4f61-a6af-57c2737b4a48/?srsltid=AfmBOooAQYrkaEMkVnqRCyioTsMMHW4VHGCi5D42TrvwphOpwLoOpKnC			Illustration Rare	12	15				
Rarity	 Pull Rate 			Special Illustration Rare	67	5				
Double Rare	1 in 6 Packs			Hyper Rare	144	5				
Ultra Rare	1 in 15 Packs	28								
Illustration Rare	1 in 13 Packs	33		SV 7 - Stellar Crown	https://www.tcgplayer.com/content/article/Pok%C3%A9mon-TCG-Stellar-Crown-Pull-Rates/2c0743dd-dbd0-4504-9ff8-be5a72dd04d1/?srsltid=AfmBOooihzptQow9HQtAf_lI9oqRZlvdhV9iNPobedAj5GPqkB9KPYtF					
Special Illustration Rare	1 in 47 Packs	15		Rarity	Pull Rates	in Set				
Hyper Rare	1 in 82 Packs	7		Double Rare	1 in 6 Packs					
				Ultra Rare	1 in 15 Packs	11				
				ACE SPEC Rare	1 in 20 Packs	3				
				Illustration Rare	1 in 13 Packs	13				
				Special Illustration Rare	1 in 90 Packs	6				
				Hyper Rare	1 in 137 Packs	3				